company,year,asset/equity,cash&equi_to_asset,a/w,size,asset/lia,industry
0100150908,2017.0,1.9972219196785004,0.05418182425888949,91997530023.7544,32.218570585587315,31.551677225522713,Dầu khí
0100150908,2018.0,1.9000129525700817,0.04953487244268137,84159437840.56331,32.129521925782555,31.551677225522713,Dầu khí
0100150908,2019.0,1.6927550456248484,0.043343725750142455,76476548409.33531,32.03379299356022,21.584136665937233,Dầu khí
0100150908,2020.0,1.6425287530192612,0.05475045856494121,63561494552.723175,31.848816711903993,2.5563505840026166,Dầu khí
0100150908,2021.0,1.5939589032721049,0.02920119082717944,57109478868.926796,31.741778964061027,2.6836181669994756,Dầu khí
0100150908,2022.0,1.458026962611668,0.03180983218416613,50913653322.19382,31.626939982210676,3.1832775832627944,Dầu khí
0100150908,2023.0,1.3591927640711066,0.0229531997950595,55596700584.013145,31.714932713948144,3.784020448145882,Dầu khí
0104160054,2017.0,5.2290550055880995,0.01531001000176346,3903555166.05166,28.380419557323354,5.507744095310511,Nguyên vật liệu
0104160054,2018.0,25.824208663918338,0.012756156541017959,7400629232.095369,29.020096866345707,3.821921826544157,Nguyên vật liệu
0104160054,2019.0,13.943804357826762,0.010092406850681536,8071774333.862085,29.106905164389477,1.3692798795072123,Nguyên vật liệu
0104160054,2020.0,10.689328583247882,0.013848607270881039,8380786007.920185,29.14447354417626,1.1032063255372437,Nguyên vật liệu
2300323118,2016.0,1.785561814827255,0.12552329705217502,749329101.8526483,25.8237605631226,2.272974298298728,Công nghiệp
2300323118,2017.0,1.2418339496612139,0.24205574641936006,1147947276.13105,26.25031293689449,5.135068717195842,Công nghiệp
2300323118,2018.0,1.151696974631656,0.34710892512550745,1388130872.012283,26.440295712599248,7.592089278168905,Công nghiệp
2300323118,2019.0,1.149059460642155,0.2220242139130024,1531206453.957991,26.538393523440902,7.708732177695758,Công nghiệp
2300323118,2020.0,1.1011886335754963,0.2026444078908147,1519500410.6013699,26.53071917036196,10.882532895889991,Công nghiệp
2300323118,2021.0,1.084387466254625,0.21866877396947548,1558563358.881918,26.556102039922802,12.850101020721151,Công nghiệp
2300323118,2022.0,1.072819328394077,0.2105188054084634,1677597383.2301369,26.629700207540555,14.732617727374382,Công nghiệp
2300323118,2023.0,1.06264724220262,0.23185287422529122,1748910931.929041,26.671330836364632,16.962394589784125,Công nghiệp
2300323118,2024.0,1.0525797187837558,0.21311069048915127,1733246118.4019177,26.662333586112325,20.01873998437863,Công nghiệp
3603417695,2020.0,4.269850922187282,0.020980709542800437,1629360110.6485715,25.79642068321183,1.305824339946078,Tiện ích Cộng đồng
3603417695,2021.0,3.6915049057965965,0.025565587005650744,1835501179.5953062,25.915550882233205,1.371539356233881,Tiện ích Cộng đồng
3603417695,2022.0,2.73889352006269,0.0892772146396105,2049289665.0306122,26.025726543862483,1.5750783406012974,Tiện ích Cộng đồng
3603417695,2023.0,2.8595119742009385,0.0008666282859065544,4621697331.67755,26.838995341051454,1.5377755098510273,Tiện ích Cộng đồng
3603417695,2024.0,2.4774492360466294,0.010007240306755037,4959281992.04602,26.909494286209043,1.6768422058789703,Tiện ích Cộng đồng
A32,2017.0,2.845773376658808,0.3005851657098666,303075749.5304469,26.50863860575144,1.5417783204838424,Hàng Tiêu dùng
A32,2018.0,2.841972610962895,0.2907396139232015,312537113.59328675,26.53937905865921,1.542896237462102,Hàng Tiêu dùng
A32,2019.0,2.334729233282419,0.12432954974822243,283749283.27011174,26.442746875908476,1.7492156274578332,Hàng Tiêu dùng
A32,2020.0,1.9450157355000295,0.1391343657388318,255126720.74740222,26.33641619886679,2.0581834380470685,Hàng Tiêu dùng
A32,2021.0,2.0159426036657435,0.09084475481014845,281883781.59081936,26.43615069701051,1.9843075744552698,Hàng Tiêu dùng
A32,2022.0,2.2154517874209954,0.18423319694663057,295045193.29497206,26.48178437525258,1.8227393388608597,Hàng Tiêu dùng
A32,2023.0,2.541564191682936,0.10557284396335946,295644605.4614153,26.483813908768994,1.6486917673589014,Hàng Tiêu dùng
A32,2024.0,2.276483241653233,0.11119911551946222,268247213.45829606,26.386564826639898,1.7834023725253558,Hàng Tiêu dùng
AAA,2016.0,2.3853567035150016,0.2404697217013972,293856218.80338764,27.958800623885853,1.7218357535375157,Nguyên vật liệu
AAA,2017.0,3.223471277251606,0.1321402059138298,456136181.47700614,28.398501436380048,1.4497472084443037,Nguyên vật liệu
AAA,2018.0,2.816148184887523,0.11135492558288472,649169018.9064853,28.751403140406918,1.550615862913153,Nguyên vật liệu
AAA,2019.0,2.5263539457283466,0.08572991769519363,1036196986.991732,29.21902257448926,1.6551560355961992,Nguyên vật liệu
AAA,2020.0,2.4537234096386342,0.03651660155989463,1065444869.7595872,29.246857736868325,1.6878887643754594,Nguyên vật liệu
AAA,2021.0,2.1295960112163335,0.11246009084936845,1124928420.1911836,29.301184713978124,1.8852722478394854,Nguyên vật liệu
AAA,2022.0,1.835134964481721,0.1986278485110599,1271589240.1385982,29.423732795189967,2.197411247917985,Nguyên vật liệu
AAA,2023.0,1.7493936661113505,0.15218632048856995,1325763911.791861,29.46545413734856,2.3344121323963964,Nguyên vật liệu
AAA,2024.0,1.942269647013736,0.21021882316788607,1397959758.2833197,29.518479165034933,2.06126733803771,Nguyên vật liệu
AAH,2021.0,4.626596106766038,0.0009472318125926862,1406083802.594457,27.344470071072436,1.2757406588879108,Nguyên vật liệu
AAH,2022.0,1.2043213393592869,0.000804960581850644,1442099214.1044943,27.369761515527617,5.894251394082526,Nguyên vật liệu
