in_stock_lag1,invest_nav_lag1,long_receive_lag1,long_liability_lag1,other_long_asset_lag1,cwip_lag1,other_short_asset_lag1,long_invest_lag1,other_fund_lag1,gov_own_lag1,for_own_lag1,roe_lag1,expense_lag1,company,year,roe
560786999782.1,0.0,13899829103.550001,872828559191.55,41090889548.15,785205657533.05,95844968468.6,31447000000.0,0.0,0.0,0.0,0.0911,4952231480545.7,AAA,2019.0,0.1672
769546868993.91,140374149277.32,60711506281.44,942209353480.5,125032295241.0,185081185145.43,80063521652.52,77842453375.26,0.0,0.0,1.0,0.1672,5405132917182.6,AAA,2020.0,0.0804
587021815354.48,277604184311.88,107824549970.78,479022590245.42,171906917223.36,223962722029.02,97807555674.72,302670541150.36,0.0,0.0,1.0,0.0804,4386147968104.4004,AAA,2021.0,0.0692
598430901257.4,315808482127.8,167379859923.0,763683287210.4,195406185163.19998,511905818890.8,82458295609.8,341945562042.6,0.0,0.0,1.0,0.0692,7665014485465.2,AAA,2022.0,0.0296
1038252987551.84,288424338279.38,38769175396.479996,822535506981.22,178695711100.75998,402199030358.27997,118403823332.45999,866504651743.0399,0.0,0.0,0.0,0.0296,8768301959923.438,AAA,2023.0,0.0533
445557730642.29,751257060806.3999,46909443488.46,1073044025590.5299,492444066615.17993,169031019848.49,102795817025.37,757022402245.6799,0.0,0.0,0.0,0.0533,7016220372603.959,AAA,2024.0,0.069
270470888811.0,0.0,0.0,303583964.71999997,29768503402.92,76149671522.66,0.0,1550000000.0,0.0,0.0,0.0,-0.2031,300118947365.84,AAH,2021.0,-0.0257
204917419209.6,0.0,50400000000.0,1349184239.3999999,29086689444.0,22577790424.8,4561613627.4,1500000000.0,0.0,0.0,0.0,-0.0257,265709003515.19998,AAH,2022.0,0.0912
54399065717.28,0.0,45734617774.28,1071624960.3599999,38581181739.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0912,274520062571.21997,AAH,2023.0,0.0099
73583086283.67,0.0,41390429881.619995,783820573.41,49901311244.46,48427940568.509995,0.0,48905999999.99999,0.0,0.0,0.0,0.0099,125617334746.52998,AAH,2024.0,0.0101
72083823220.37999,0.0,0.0,2223611773.2799997,965600000.0,0.0,2440188893.8599997,7588754415.0,0.0,0.0,1.0,0.0101,249182373203.49,AAM,2016.0,0.0063
67606229936.7,0.0,0.0,2158019222.7999997,784000000.0,0.0,2457079051.0,7481870550.0,0.0,0.0,0.0,0.0063,192590036138.5,AAM,2017.0,0.0047
31691216678.0,0.0,0.0,2053480545.1200001,589600000.0,85828144.36,2824222817.79,13861218955.0,0.0,0.0,0.0,0.0047,151478669762.03003,AAM,2018.0,0.0424
42373110070.85,0.0,0.0,1972750000.0,544711402.3000001,63704752.800000004,3688316479.25,6947451225.0,0.0,0.0,0.0,0.0424,139533673401.2,AAM,2019.0,0.0393
70464889567.17,0.0,0.0,677303899.02,252000000.0,129393190.71000001,2147910750.09,6733683495.0,0.0,0.0,1.0,0.0393,134978254956.72,AAM,2020.0,-0.059
74024621450.74,0.0,0.0,753060833.76,99200000.0,17050000.0,1734395872.76,6626799630.0,0.0,0.0,1.0,-0.059,84809128902.7,AAM,2021.0,0.0012
50901756377.4,0.0,0.0,730010754.6,672000000.0,0.0,1495451554.8,6413031900.0,0.0,0.0,1.0,0.0012,83583221191.20001,AAM,2022.0,0.0837
59085731980.2,0.0,0.0,641503050.36,510399999.99999994,0.0,1916567635.06,6199264170.0,0.0,0.0,0.0,0.0837,118940018406.74,AAM,2023.0,0.0034
72542960492.93999,0.0,0.0,611893734.5999999,364799999.99999994,0.0,2705765775.0,8449284704.999999,0.0,0.0,0.0,0.0034,83125990475.12999,AAM,2024.0,-0.0316
1676694102.8999999,0.0,218680000.0,61873500258.52,1119035868.47,50255617488.53,5248961198.16,54528000000.0,0.0,0.0,0.0,0.0019,154421607022.88998,AAT,2016.0,0.0004
11706876358.8,0.0,3677100000.0,78824624044.59999,9395961283.8,9323173814.5,10567001098.5,53760000000.0,0.0,0.0,0.0,0.0004,53334218688.8,AAT,2017.0,0.0041
11930690798.640001,0.0,2050200000.0000002,65740645348.64001,8578097213.900001,8923609685.42,1098020323.68,45105740000.0,0.0,0.0,0.0,0.0041,75599849575.27002,AAT,2018.0,0.0635
12572078916.800001,0.0,1972750000.0,77715096115.15001,7844096610.35,27706707531.75,2629048651.4500003,43759300000.0,0.0,0.0,0.0,0.0635,167571825023.85,AAT,2019.0,0.0528
15331911660.45,0.0,762300000.0,74743587725.31,7545759259.5,17804126792.34,3800323111.41,42412860000.0,0.0,0.0,0.0,0.0528,165760218744.12,AAT,2020.0,0.0336
10536119339.4,0.0,9300000000.0,38904004257.06,7045983789.46,9995592260.0,242016349.0,41739640000.0,0.0,0.0,0.0,0.0336,163225200122.82,AAT,2021.0,0.0527
10691623656.0,0.0,33000000000.0,115304321597.4,12553073710.8,33130202046.6,11672006602.199999,40393200000.0,0.0,0.0,1.0,0.0527,258358631326.8,AAT,2022.0,0.0981
8181762773.2,158069087500.72,38541000000.0,63348811718.6,10255086200.32,3440515340.0,296200796.82,39046760000.0,0.0,0.0,0.0,0.0981,492791147541.89996,AAT,2023.0,-0.0035
15719624634.239998,167777649477.9,17923173902.94,43189146453.17999,7506068560.95,462083609.99999994,540127683.39,38373540000.0,0.0,0.0,0.0,-0.0035,324760812448.98,AAT,2024.0,-0.0121
4315940452.7,3074287203.67,21295740000.0,137224647572.09999,1029352285.92,82600664456.33,3997307759.5899997,463275000.0,0.0,0.0,0.0,0.1408,61758169246.57,AAV,2016.0,0.1906
18288837089.6,2982796796.0,52856722800.0,104211816830.79999,1378498822.3999999,77766328508.4,5326050275.7,0.0,0.0,0.0,0.0,0.1906,104394120400.5,AAV,2017.0,0.1332
