revenue_lag1,in_stock_lag1,invest_nav_lag1,long_receive_lag1,long_liability_lag1,other_long_asset_lag1,cwip_lag1,other_short_asset_lag1,long_invest_lag1,other_fund_lag1,gov_own_lag1,for_own_lag1,expense_lag1,company,year,revenue
29.39448161429903,769546868993.91,140374149277.32,60711506281.44,942209353480.5,125032295241.0,185081185145.43,80063521652.52,77842453375.26,0.0,0.0,1.0,5405132917182.6,AAA,2020.0,29.15831694422724
29.15831694422724,587021815354.48,277604184311.88,107824549970.78,479022590245.42,171906917223.36,223962722029.02,97807555674.72,302670541150.36,0.0,0.0,1.0,4386147968104.4004,AAA,2021.0,29.696093148754098
29.696093148754098,598430901257.4,315808482127.8,167379859923.0,763683287210.4,195406185163.19998,511905818890.8,82458295609.8,341945562042.6,0.0,0.0,1.0,7665014485465.2,AAA,2022.0,29.813512389479587
29.813512389479587,1038252987551.84,288424338279.38,38769175396.479996,822535506981.22,178695711100.75998,402199030358.27997,118403823332.45999,866504651743.0399,0.0,0.0,0.0,8768301959923.438,AAA,2023.0,29.60430502748085
29.60430502748085,445557730642.29,751257060806.3999,46909443488.46,1073044025590.5299,492444066615.17993,169031019848.49,102795817025.37,757022402245.6799,0.0,0.0,0.0,7016220372603.959,AAA,2024.0,29.56289094551788
26.351751623705994,270470888811.0,0.0,0.0,303583964.71999997,29768503402.92,76149671522.66,0.0,1550000000.0,0.0,0.0,0.0,300118947365.84,AAH,2021.0,26.326980039217478
26.326980039217478,204917419209.6,0.0,50400000000.0,1349184239.3999999,29086689444.0,22577790424.8,4561613627.4,1500000000.0,0.0,0.0,0.0,265709003515.19998,AAH,2022.0,26.561840266925696
26.561840266925696,54399065717.28,0.0,45734617774.28,1071624960.3599999,38581181739.38,0.0,0.0,0.0,0.0,0.0,0.0,274520062571.21997,AAH,2023.0,25.60946230521287
25.60946230521287,73583086283.67,0.0,41390429881.619995,783820573.41,49901311244.46,48427940568.509995,0.0,48905999999.99999,0.0,0.0,0.0,125617334746.52998,AAH,2024.0,27.17365037147325
26.23765386561934,72083823220.37999,0.0,0.0,2223611773.2799997,965600000.0,0.0,2440188893.8599997,7588754415.0,0.0,0.0,1.0,249182373203.49,AAM,2016.0,25.982555141164166
25.982555141164166,67606229936.7,0.0,0.0,2158019222.7999997,784000000.0,0.0,2457079051.0,7481870550.0,0.0,0.0,0.0,192590036138.5,AAM,2017.0,25.73527854986885
25.73527854986885,31691216678.0,0.0,0.0,2053480545.1200001,589600000.0,85828144.36,2824222817.79,13861218955.0,0.0,0.0,0.0,151478669762.03003,AAM,2018.0,25.678187756380165
25.678187756380165,42373110070.85,0.0,0.0,1972750000.0,544711402.3000001,63704752.800000004,3688316479.25,6947451225.0,0.0,0.0,0.0,139533673401.2,AAM,2019.0,25.637073145886728
25.637073145886728,70464889567.17,0.0,0.0,677303899.02,252000000.0,129393190.71000001,2147910750.09,6733683495.0,0.0,0.0,1.0,134978254956.72,AAM,2020.0,25.04008231205879
25.04008231205879,74024621450.74,0.0,0.0,753060833.76,99200000.0,17050000.0,1734395872.76,6626799630.0,0.0,0.0,1.0,84809128902.7,AAM,2021.0,25.11110284797256
25.11110284797256,50901756377.4,0.0,0.0,730010754.6,672000000.0,0.0,1495451554.8,6413031900.0,0.0,0.0,1.0,83583221191.20001,AAM,2022.0,25.53516190506415
25.53516190506415,59085731980.2,0.0,0.0,641503050.36,510399999.99999994,0.0,1916567635.06,6199264170.0,0.0,0.0,0.0,118940018406.74,AAM,2023.0,25.079398923145405
25.079398923145405,72542960492.93999,0.0,0.0,611893734.5999999,364799999.99999994,0.0,2705765775.0,8449284704.999999,0.0,0.0,0.0,83125990475.12999,AAM,2024.0,25.140671752955836
25.78447466045471,1676694102.8999999,0.0,218680000.0,61873500258.52,1119035868.47,50255617488.53,5248961198.16,54528000000.0,0.0,0.0,0.0,154421607022.88998,AAT,2016.0,24.744562708979206
24.744562708979206,11706876358.8,0.0,3677100000.0,78824624044.59999,9395961283.8,9323173814.5,10567001098.5,53760000000.0,0.0,0.0,0.0,53334218688.8,AAT,2017.0,25.11278607129279
25.11278607129279,11930690798.640001,0.0,2050200000.0000002,65740645348.64001,8578097213.900001,8923609685.42,1098020323.68,45105740000.0,0.0,0.0,0.0,75599849575.27002,AAT,2018.0,25.98143837382314
25.98143837382314,12572078916.800001,0.0,1972750000.0,77715096115.15001,7844096610.35,27706707531.75,2629048651.4500003,43759300000.0,0.0,0.0,0.0,167571825023.85,AAT,2019.0,25.952926158165454
25.952926158165454,15331911660.45,0.0,762300000.0,74743587725.31,7545759259.5,17804126792.34,3800323111.41,42412860000.0,0.0,0.0,0.0,165760218744.12,AAT,2020.0,25.905056902695087
25.905056902695087,10536119339.4,0.0,9300000000.0,38904004257.06,7045983789.46,9995592260.0,242016349.0,41739640000.0,0.0,0.0,0.0,163225200122.82,AAT,2021.0,26.371905505942777
26.371905505942777,10691623656.0,0.0,33000000000.0,115304321597.4,12553073710.8,33130202046.6,11672006602.199999,40393200000.0,0.0,0.0,1.0,258358631326.8,AAT,2022.0,27.04716406468424
27.04716406468424,8181762773.2,158069087500.72,38541000000.0,63348811718.6,10255086200.32,3440515340.0,296200796.82,39046760000.0,0.0,0.0,0.0,492791147541.89996,AAT,2023.0,26.557000228823977
26.557000228823977,15719624634.239998,167777649477.9,17923173902.94,43189146453.17999,7506068560.95,462083609.99999994,540127683.39,38373540000.0,0.0,0.0,0.0,324760812448.98,AAT,2024.0,26.475283911849893
24.850872030232004,4315940452.7,3074287203.67,21295740000.0,137224647572.09999,1029352285.92,82600664456.33,3997307759.5899997,463275000.0,0.0,0.0,0.0,61758169246.57,AAV,2016.0,25.464758750498444
25.464758750498444,18288837089.6,2982796796.0,52856722800.0,104211816830.79999,1378498822.3999999,77766328508.4,5326050275.7,0.0,0.0,0.0,0.0,104394120400.5,AAV,2017.0,25.822978765562283
25.822978765562283,15251160318.160002,3694375583.36,45988800000.0,46517733808.82,1251479151.1000001,77579568360.46,4886299282.68,0.0,0.0,0.0,0.0,142880444107.3,AAV,2018.0,26.443950417543125
26.443950417543125,18593781217.7,3490730406.8,15065436050.6,30273621998.75,855259202.2,77054126419.40001,5131660233.05,10737775207.9,0.0,0.0,0.0,271953135925.90002,AAV,2019.0,26.566542114751314
26.566542114751314,15274522841.76,3292830790.2,19923843061.08,34243129676.07,23745527714.16,83244531982.5,4404738570.75,0.0,0.0,0.0,0.0,318189993658.7399,AAV,2020.0,26.02491404288101
26.02491404288101,11482304988.72,3151507496.96,18612096704.68,34948809591.98,20724773989.64,94933058940.62,4848870077.8,0.0,0.0,0.0,1.0,195149815688.18,AAV,2021.0,26.428735773892935
26.428735773892935,8358294831.599999,2963662605.6,31632295743.0,31023456901.199997,52521701805.6,96938148991.2,6313888197.0,0.0,0.0,0.0,1.0,277782539930.39996,AAV,2022.0,26.386033481405892
26.386033481405892,5633954960.42,2781563271.52,30635971569.46,29612592948.62,45242360351.18,100071226698.48,6067662937.919999,0.0,0.0,0.0,0.0,281174327400.89996,AAV,2023.0,24.453144954560294
24.453144954560294,3691286708.0099998,2651731092.8399997,2410504347.72,28962300019.62,32061107300.76,93785860720.92,5684352519.03,0.0,0.0,0.0,0.0,50640325746.36,AAV,2024.0,23.75737419064201
28.700391701411082,62983317714.899994,0.0,1298780811.79,393765559.79999995,5058790547.389999,0.0,4652980339.559999,8674472549.41,0.0,0.0,0.0,2894286209682.4697,ABC,2016.0,29.263069061961797
29.263069061961797,71012290230.7,0.0,1259488124.3,4450597130.0,6265752840.2,0.0,6247120097.4,5548148613.7,0.0,0.0,0.0,5049408534816.8,ABC,2017.0,28.67417935105598
28.67417935105598,35439343945.340004,0.0,821170694.34,4489442936.33,4222654398.17,0.0,13085384585.18,78302668853.35,0.0,0.0,0.0,2836350440686.99,ABC,2018.0,27.134064722760293
27.134064722760293,86179206300.2,15797937102.35,1838901936.3,4488755897.6,2577348831.85,0.0,17225734965.4,5215901869.75,0.0,0.0,0.0,605458019521.55,ABC,2019.0,27.99932623498449
27.99932623498449,97764078717.27,14652038074.59,2553661153.26,4398067651.95,2150275380.12,0.0,45562355678.07,37013608223.55,0.0,1.0,1.0,1435388196261.6,ABC,2020.0,28.368294450003663
28.368294450003663,13804273047.36,13770130539.539999,1846802758.12,4311379968.58,3949328440.22,0.0,100385763579.24,51616035355.36,0.0,1.0,1.0,2204384675564.94,ABC,2021.0,27.542537433916944
27.542537433916944,9859947585.0,12697543584.6,2064705000.0,4278573820.7999997,2817783230.4,0.0,91393731781.8,117049358689.2,0.0,1.0,1.0,1271849828647.8,ABC,2022.0,27.414078275931665
27.414078275931665,892459222.26,11666849243.859999,1787806499.9999998,4287874743.62,2041485197.12,0.0,39823370024.579994,77212863467.43999,0.0,0.0,0.0,1132754129695.52,ABC,2023.0,27.14466788273623
27.14466788273623,644003149.02,10868726936.009998,1017962999.9999999,632877381.15,392128790.21999997,895754999.9999999,23857882532.76,36871328644.74,0.0,0.0,0.0,617025326860.7999,ABC,2024.0,27.151983008910143
23.59493556419465,2822708525.81,0.0,0.0,221278600.0,5136910.35,0.0,28726778.919999998,14056187099.49,0.0,0.0,0.0,16810648518.24,ABR,2016.0,23.777069939771653
23.777069939771653,2209973261.2999997,0.0,0.0,1515964.0999999999,0.0,2085999999.9999998,239391844.29999998,5792513282.5,0.0,0.0,0.0,19305033190.799995,ABR,2017.0,23.672144330993497
23.672144330993497,1132769486.42,0.0,0.0,1450994.2100000002,0.0,2239810000.0,135922898.66,5543338112.58,0.0,0.0,0.0,18411880174.57,ABR,2018.0,23.348846733847516
23.348846733847516,1824978761.45,0.0,0.0,0.0,1294800000.0,0.0,76923068.95,5374961593.95,0.0,0.0,0.0,12338040074.099998,ABR,2019.0,23.55882813414965
23.55882813414965,172451417.04,0.0,64718854.2,1401536292.66,45291983558.22,9420288433.92,226629708.48,27255164.580000002,0.0,0.0,1.0,11486666515.59,ABR,2020.0,24.83282934165264
24.83282934165264,972317856.96,0.0,43281567.6,1813381692.84,39084697476.8,7713378869.2,871539049.28,26822542.919999998,0.0,0.0,1.0,46859023628.16,ABR,2021.0,24.72499107061152
24.72499107061152,244687761.6,0.0,105169518.0,2398556568.6,34417938688.799995,2236326408.6,226282956.0,0.0,0.0,0.0,1.0,44591268514.8,ABR,2022.0,24.824645311067652
24.824645311067652,243496328.48,0.0,67543900.0,2666870032.98,29766777555.44,2293364753.96,549744135.86,63748894819.02,0.0,0.0,0.0,44038900484.85999,ABR,2023.0,24.14411372325331
24.14411372325331,0.0,0.0,1301512147.08,9862386685.17,24668588584.019997,0.0,887439875.91,93587444999.99998,0.0,0.0,0.0,25967438372.25,ABR,2024.0,23.32180111915546
26.478211308272602,20310750198.199997,0.0,139916476000.0,1096669700.0,306528274.5,861000000.0,708475107.1999999,47600000000.0,0.0,0.0,0.0,300238627124.8,ABS,2017.0,26.65778549212189
26.65778549212189,31134049370.010002,0.0,133920055600.00002,996077610.0,255986709.72000003,824100000.0,755394791.0400001,45560000000.0,0.0,0.0,0.0,366211207990.4101,ABS,2018.0,26.45033838323631
26.45033838323631,5942474467.8,0.0,129922442000.0,654351750.0,340216873.1,799500000.0,2679643185.05,44200000000.0,0.0,0.0,0.0,302067483825.89996,ABS,2019.0,26.933982591123538
26.933982591123538,12482674442.28,0.0,139482000000.0,331825410.0,566762044.59,0.0,1807469960.94,42840000000.0,0.0,0.0,0.0,474114380963.58,ABS,2020.0,27.251892137886934
27.251892137886934,3252368488.74,0.0,137268000000.0,181350000.0,586719016.28,0.0,431758244.92,42160000000.0,0.0,0.0,1.0,642964115249.06,ABS,2021.0,27.301393141826942
27.301393141826942,12121974703.199999,4582200000.0,132840000000.0,235500000.0,476868706.2,0.0,534794809.79999995,40800000000.0,0.0,0.0,0.0,693587960272.2,ABS,2022.0,27.559627289193855
27.559627289193855,2979813353.3999996,4429460000.0,128411999999.99998,682950000.0,270920706.85999995,0.0,364129849.29999995,39440000000.0,0.0,0.0,0.0,891847132234.6,ABS,2023.0,27.093811875304592
27.093811875304592,2132183594.0399997,10530018793.169998,203504249999.99997,534374999.99999994,120856237.02,0.0,255546091.32,38760000000.0,0.0,0.0,0.0,587751470754.36,ABS,2024.0,26.08884954607104
26.541997155229517,97421780813.03,0.0,0.0,3828835903.75,22172597297.379997,725239053.76,5068841860.48,1420000000.0,0.0,0.0,1.0,278437615391.51,ABT,2016.0,26.41184468775511
26.41184468775511,77518359258.2,0.0,0.0,3126161150.0,19716264750.0,784734706.0,3643432936.5,0.0,0.0,0.0,0.0,262020810363.89996,ABT,2017.0,26.272636934109403
26.272636934109403,63547505419.380005,0.0,0.0,2459139357.5,20616175527.45,2061515707.0500002,4351077277.97,120980188485.0,0.0,0.0,0.0,244704263113.51,ABT,2018.0,26.273741489509383
26.273741489509383,79748613156.55,0.0,0.0,3350193323.75,18152569659.25,1384682168.3500001,3108631316.05,121681548950.0,0.0,0.0,0.0,219417819429.25,ABT,2019.0,26.150524838562173
26.150524838562173,102240948589.29,0.0,0.0,3238790625.0,18087499944.99,6131320413.12,1037391250.14,117937501290.0,0.0,0.0,1.0,210740486166.62997,ABT,2020.0,26.007627478938744
26.007627478938744,96075305094.96,0.0,0.0,2821701530.0,16120528496.68,5053541695.24,979101152.34,116065477460.0,0.0,0.0,1.0,192112838124.6,ABT,2021.0,26.046219524992214
26.046219524992214,105995524388.4,0.0,0.0,2502198600.0,15906424491.0,13550961319.8,946396484.4,112321429800.0,0.0,0.0,1.0,193154735312.4,ABT,2022.0,26.60282261889338
